date,open,high,low,close,amount,volume,reserve
20110328,2985.36,3005.78,2979.2,2984.0,198231261184.0,169306067,29229515
20110329,2979.86,2994.17,2953.54,2958.08,201697280000.0,180640106,44302583
20110330,2955.45,2968.18,2935.75,2955.77,154444988416.0,139370044,38338884
20110331,2954.65,2961.63,2914.38,2928.11,135660912640.0,116767618,44368114
20110401,2932.48,2967.85,2924.39,2967.41,127272837120.0,110219749,8520469
20110406,2964.21,3005.24,2963.9,3001.36,178704629760.0,156718412,22938151
20110407,3003.2,3012.29,2990.31,3007.91,154311131136.0,133886713,20841025
20110408,3005.37,3031.1,2998.34,3030.02,148542341120.0,123817024,13959834
20110411,3037.91,3059.57,3019.89,3022.75,184386568192.0,158087447,42598671
20110412,3012.79,3039.12,3003.45,3021.37,167117832192.0,157956281,27591140
20110413,3006.83,3050.4,2994.47,3050.4,148905771008.0,138585676,12976839
20110414,3049.67,3058.24,3036.73,3042.64,150275932160.0,140801849,39321921
20110415,3036.34,3062.53,3020.16,3050.53,150697164800.0,141741926,29557167
20110418,3040.53,3067.46,3037.19,3057.33,162870640640.0,150764092,26083828
20110419,3038.81,3038.81,2996.22,2999.04,167927742464.0,153485257,44630248
20110420,3005.97,3019.12,2992.67,3007.04,144904617984.0,128317165,19989057
20110421,3021.77,3035.47,3012.54,3026.67,148319436800.0,128332496,19530337
20110422,3025.7,3032.97,3004.46,3010.52,138236018688.0,124375143,36634951
20110425,3003.03,3003.61,2964.64,2964.95,142058225664.0,128284887,49021093
20110426,2956.95,2970.28,2931.5,2938.98,113890836480.0,106497502,44695784
20110427,2946.33,2961.13,2907.66,2925.41,116293386240.0,116709577,43712764
20110428,2937.95,2953.19,2884.84,2887.04,117862817792.0,121275675,55181387
20110429,2886.63,2913.56,2871.01,2911.51,95097004032.0,101989389,7930646
20110503,2911.51,2933.46,2890.22,2932.19,104159657984.0,108343988,7602980
20110504,2916.84,2916.97,2860.07,2866.02,126914650112.0,124379051,53084276
20110505,2854.77,2880.13,2849.91,2872.4,99921805312.0,98861010,21561917
20110506,2842.76,2881.71,2834.46,2863.89,106606075904.0,102577114,24052240
20110509,2868.24,2885.18,2861.42,2872.46,94783381504.0,87632166,15598227
20110510,2876.98,2891.03,2865.1,2890.63,96995082240.0,87583238,19661388
20110511,2890.35,2897.14,2868.35,2883.42,107788017664.0,97584232,28836297
20110512,2864.98,2876.45,2843.1,2844.08,115013320704.0,106428484,49283237
20110513,2846.31,2871.99,2832.25,2871.03,105286844416.0,103797660,13697726
20110516,2864.38,2877.09,2846.31,2849.07,96655507456.0,91146871,36438369
20110517,2846.45,2869.23,2821.2,2852.77,110882775040.0,102872163,32244128
20110518,2846.72,2877.43,2843.68,2872.77,91304460288.0,83814176,13763224
20110519,2879.39,2884.14,2856.83,2859.57,92002295808.0,83407239,42074381
20110520,2858.31,2866.76,2850.45,2858.46,84605231104.0,75151421,33227105
20110523,2853.29,2853.29,2771.12,2774.57,112663347200.0,107910956,58327090
20110524,2766.06,2771.75,2744.78,2767.06,89829720064.0,82556845,30998971
20110525,2764.56,2771.18,2737.33,2741.74,87059824640.0,80872911,46989523
20110526,2755.39,2764.89,2734.54,2736.53,93521297408.0,86296155,38601012
20110527,2739.39,2746.84,2708.55,2709.95,93187325952.0,93607903,51183744
20110530,2704.48,2728.06,2689.21,2706.36,72145698816.0,73811397,49807532
20110531,2707.56,2744.93,2702.09,2743.47,79055486976.0,78432041,4260713
20110601,2737.06,2744.56,2726.49,2743.57,78783373312.0,79444358,15270563
20110602,2715.32,2727.99,2676.54,2705.18,95553929216.0,96806562,50397354
20110603,2701.77,2732.43,2701.25,2728.02,79125315584.0,74710687,4064109
20110607,2720.97,2745.77,2717.31,2744.3,79913369600.0,71784301,11862755
20110608,2742.04,2754.12,2715.25,2750.29,88231337984.0,80551646,24379904
20110609,2743.54,2747.33,2702.69,2703.35,95853101056.0,88705412,56557646
20110610,2696.13,2707.74,2672.32,2705.14,83971416064.0,79638862,26083841
20110613,2687.65,2703.42,2669.4,2700.38,74062381056.0,69760570,38142289
20110614,2696.22,2735.55,2691.67,2730.04,96063504384.0,89853813,5702484
20110615,2717.68,2730.48,2705.07,2705.43,86069469184.0,79347956,48627890
20110616,2685.63,2691.94,2663.12,2664.28,77300768768.0,76455593,56229971
20110617,2661.41,2675.03,2641.39,2642.82,75238383616.0,70244510,49938599
20110620,2635.83,2637.88,2610.99,2621.25,66141503488.0,67629607,42926344
20110621,2628.02,2648.02,2618.81,2646.48,74109124608.0,71564201,6488895
20110622,2648.53,2657.73,2633.47,2649.32,65344770048.0,63745434,36176237
20110623,2640.66,2693.42,2630.34,2688.25,83468582912.0,81092959,3015550
20110624,2678.05,2759.71,2674.3,2746.21,144335912960.0,139445431,2032528
20110627,2746.79,2769.04,2743.5,2758.23,117141372928.0,110150856,11010781
20110628,2759.71,2763.28,2736.4,2759.2,104902033408.0,94974795,28705218
20110629,2757.4,2759.23,2727.25,2728.48,99758456832.0,94571112,52297852
20110630,2729.99,2774.37,2729.99,2762.08,104379187200.0,102322631,3474288
20110701,2767.83,2778.67,2752.97,2759.36,106444529664.0,101893130,22282806
20110704,2770.94,2813.27,2770.94,2812.82,145547640832.0,138419239,656299
20110705,2812.72,2818.14,2799.11,2816.35,129553776640.0,117236370,21824050
20110706,2811.82,2811.82,2780.73,2810.48,122990297088.0,110007038,33358231
20110707,2813.19,2825.12,2793.89,2794.27,141310181376.0,126737516,36962661
20110708,2797.03,2807.38,2784.13,2797.77,103601684480.0,92237121,33489303
20110711,2789.45,2807.32,2780.67,2802.69,102142574592.0,91836055,17498761
20110712,2783.72,2783.72,2752.19,2754.58,112393633792.0,103674392,52953226
20110713,2756.03,2797.27,2756.03,2795.48,108678397952.0,99659093,1508259
20110714,2798.21,2811.7,2788.98,2810.44,125648830464.0,104502079,17040019
20110715,2803.58,2821.34,2794.16,2820.17,127720316928.0,107470064,21692998
20110718,2821.36,2826.96,2807.11,2816.69,129581318144.0,108108622,30147016
20110719,2804.92,2809.32,2790.69,2796.98,110120386560.0,92740884,46661864
20110720,2810.44,2817.29,2779.38,2794.2,99677741056.0,84030615,31588782
20110721,2795.9,2799.85,2763.42,2765.89,95769509888.0,81760582,50856097
20110722,2769.86,2782.17,2763.8,2770.79,82498347008.0,70211836,21889596
20110725,2759.63,2759.63,2680.75,2688.75,120856436736.0,111242249,60489765
20110726,2685.75,2704.94,2677.12,2703.03,79482937344.0,72881454,20513392
20110727,2690.14,2726.8,2680.43,2723.49,92082364416.0,80407781,7013183
20110728,2701.77,2712.09,2684.66,2708.78,90451812352.0,78474914,44433678
20110729,2706.5,2721.53,2681.27,2701.73,83784761344.0,75471654,42729735
20110801,2697.57,2712.89,2688.53,2703.78,66073997312.0,59000711,21889608
20110802,2689.97,2689.97,2651.28,2679.26,77994115072.0,69993181,45351164
20110803,2659.12,2688.06,2654.36,2678.48,73381011456.0,63981609,30343601
20110804,2683.19,2698.82,2675.53,2684.04,69338644480.0,58872111,19530342
20110805,2620.28,2644.58,2605.14,2626.42,87777763328.0,78571833,55378023
20110808,2599.29,2614.19,2497.92,2526.82,117550546944.0,110302495,58720305
20110809,2468.03,2537.41,2437.68,2526.07,107745075200.0,103723891,39256406
20110810,2562.39,2579.16,2544.95,2549.18,104038326272.0,100369342,6554428
20110811,2508.86,2582.16,2505.01,2581.51,100089143296.0,95597264,5440355
20110812,2593.4,2605.45,2585.85,2593.17,100034764800.0,97171205,13501141
20110815,2598.14,2627.1,2584.41,2626.77,90997350400.0,88676842,6292305
20110816,2627.85,2636.36,2601.5,2608.17,90247921664.0,85226860,47186138
20110817,2603.96,2617.17,2596.04,2601.26,72200593408.0,70109145,37945664
20110818,2601.99,2603.48,2556.86,2559.47,76087951360.0,70989276,55574624
20110819,2519.65,2538.27,2513.75,2534.36,73771900928.0,70606800,47382745
20110822,2534.57,2553.42,2507.78,2515.86,65524543488.0,61214429,40370487
20110823,2524.88,2554.18,2514.95,2554.02,63210700800.0,60944193,3343236
20110824,2562.41,2569.28,2536.26,2541.09,70690693120.0,65462469,40042819
20110825,2546.4,2616.3,2545.05,2615.26,104570298368.0,104537977,3146641
20110826,2602.21,2616.64,2593.24,2612.19,81503338496.0,77850449,30278079
